id,set,descr
596,11_ 26_ 74_ 2,Numbers separated by numbers divisible by 3. (11+ 15=26_ 26+48=72_ etc.)
596,99_ 59_ 31_ 67,Numbers separated by numbers divisible by 4. (99-59=40_ 59-31=28_ etc.) Or just odd numbers.
596,73,This could be odd numbers or numbers between 1-100 or 70-80 or anything like that.
596,55_ 15_ 75_ 45,Numbers divisible by fives_ or numbers separated by 10_ or numbers ending in 5_ or odd numbers.
600,69_ 19_ 85,50 less than the number before
600,96_ 48,-5 on the first number and +2 on the second
600,10_ 80,numbers that end in zero
600,28_ 13,numbers subtracted by 15
600,3_ 33_ 99,numbers multiplied by 11
13,65_ 26_ 2,numbers between 1 and 80
13,98_ 54_ 18,numbers between 1 and 100
13,99_ 59_ 31_ 67,odd numbers
13,8_ 16,multiples of 8
13,8_ 92,even numbers
48,73,numbers with 7 and 3 in them
48,8_ 92,numbers with 8_9_2
48,7,odd
48,6_ 25,numbers with 6_2_5
48,99_ 59_ 31_ 67,numbers above 31
184,47,Numbers with a 7 in them
184,59_ 14,Numbers with a 5_ 9_ 1_ or 4 in them
184,51_ 39_ 87,Odd numbers ending in 1_ 9_ or 7
184,96_ 48,Numbers evenly divisible by 12
184,42_ 62,Numbers ending in 2
552,42_ 62,Both numbers should be even integers. 
552,73_ 35_ 53_ 59,All integers odd
552,47,Products of x * 7
552,69_ 19_ 85,No idea here. I couldn''t find a correlation. 
552,2,any even number. 
421,51_ 39_ 87,Odd Numbers
421,69_ 19_ 85,Odd Numbers
421,7_ 67,Has a seven in it
421,64_ 96_ 24_ 56,Even Numbers
421,96_ 48,Even Numbers
491,98_ 83,numbers between 80 and 70
491,10_ 55_ 58,numbers between 60 and 75
491,8_ 92,even numbers
491,73,prime numbers
491,6_ 25,numbers between 30 and 55
604,7_ 31,Numbers between 7 and 31
604,47,Prime numbers
604,42_ 62,Even numbers
604,96_ 48,Multiples of 12
604,7_ 67,Numbers that have a 7 in the 10s place
170,65_ 26_ 2,i thought it was the exact numbers
170,55_ 15_ 75_ 45,i thought it was the exact numbers
170,8_ 16,i thought it was the exact numbers
170,73,i thought it was the exact numbers
170,8_ 92,i thought it was the exact numbers
409,6_ 25,dk
409,8_ 16,numbers x8
409,98_ 83,numbers that include 8
409,7,dk
409,59_ 89_ 79,numbers that end in 9
534,10_ 55_ 58,Numbers between 10 and 58. No noticed similarities. 
534,98_ 54_ 18,Even Numbers.  (Twos)
534,6_ 25,Numbers Between 6_ and 25.  (Threes)
534,73,Odd Number. Multiple conclusions for output
534,7,Odd Number.  Multiple conclusions for output
89,7_ 31,Numbers Between 7 and 31
89,96_ 48,Multiples of 3
89,59_ 14,Numbers Between 59 and 14
89,42_ 62,Even Numbers
89,7_ 67,Odd Numbers
123,42_ 62,50
123,96_ 48,85
123,64_ 96_ 24_ 56,60
123,51_ 39_ 87,83
123,3_ 33_ 99,43
580,64_ 96_ 24_ 56,even numbers
580,3_ 33_ 99,times 3
580,73_ 35_ 53_ 59,uneven numbers
580,59_ 14,45 in between
580,69_ 19_ 85,uneven numbers
509,28_ 13,numbers ending in 8 or 3
509,3_ 33_ 99,numbers ending in 3/9 or odds
509,42_ 62,numbers ending in 2
509,75_ 95,numbers ending in 5
509,51_ 39_ 87,numbers ending in odds
458,64_ 96_ 24_ 56,even numbers
458,2,even numbers
458,75_ 95,multiples of 5
458,47,not sure
458,42_ 62,even numbers
330,7_ 67,ends with 7
330,96_ 48,divided by 8
330,51_ 39_ 87,odd numbers
330,42_ 62,numbers ending with 2
330,2,even numbers
166,7_ 67,odd numbers 
166,75_ 95,ending in 5 
166,28_ 13,numbers between 13 and 28 
166,69_ 19_ 85,odd numbers 
166,7_ 31,odd numbers 
419,73_ 35_ 53_ 59,Odd numbers over 21
419,96_ 48,Even numbers divided 
419,7_ 31,odd numbers
419,7_ 67,odd numbers
419,47,odd numbers
288,96_ 48,ends with even numbers
288,73_ 35_ 53_ 59,ends with odd numbers
288,28_ 13,numbers add up to be even number
288,7_ 67,numbers ending with 7
288,42_ 62,numbers ending with 2
551,99_ 59_ 31_ 67,odd numbers
551,98_ 54_ 18,even numbers
551,6_ 25,numbers between 6 and 25
551,11_ 26_ 74_ 2,numbers between 2 and 74
551,98_ 83,numbers between 80 and 100
589,55_ 15_ 75_ 45,all end in 5
589,7,single digit_ or can count up or down by one
589,8_ 92,evens
589,73,odd
589,46_ 76_ 66,all end in 6
391,3_ 81,numbers divisible by 3
391,6,numbers ending in 6
391,26_ 2,numbers divisible by 2
391,18_ 8_ 72_ 98,numbers containing_ adding up to or divisible by 8 or 9
391,80_ 70_ 90_ 100,numbers ending in 0
554,49_ 28_ 76_ 13,numbers between 10-80
554,6,numbers 1-10
554,80_ 70_ 90_ 100,multiples of 5
554,78_ 48_ 88,numbers ending in 8
554,18_ 8_ 72_ 98,even numbers
362,6,even
362,85_ 7,prime
362,78_ 48_ 88,ending in 8
362,3_ 81,number 9
362,80_ 70_ 90_ 100,ending in 0
41,9,odd numbers
41,33_ 9,numbers between 9 and 33
41,76_ 26,even numbers
41,33_ 17_ 5_ 9,numbers between 9 and 33
41,15_ 85_ 45,numbers between 15 and 45
121,82_ 67_ 72,numbers between 67 and 82
121,33,odd numbers
121,78,even numbers
121,10,even numbers
121,9,odd numbers
321,18_ 8_ 72_ 98,even numbers
321,29_ 62_ 98,numbers between 29 and 98
321,78_ 48_ 88,even numbers
321,80_ 70_ 90_ 100,even numbers
321,32_ 4_ 16,even numbers
348,90_ 100_ 5,numbers ending in 0 or 5
348,18_ 8_ 72_ 98,even numbers
348,29_ 62_ 98,numbers betwen 34 and 56
348,85_ 7,numbers between 32 and 68
348,32_ 4_ 16,multiples of 4
477,26_ 2,even numbers
477,92_ 68_ 20,even numbers
477,78_ 48_ 88,even numbers
477,9_ 33_ 73_ 99,numbers between 9 and 99
477,18_ 8_ 72_ 98,even numbers
400,50,numbers that are multiples of 10
400,17,odd numbers
400,75_ 27,numbers that have 7 in it 
400,20_ 32_ 92,even numbers
400,17_ 50_ 5_ 82,numbers between 5 and 82
383,17_ 50_ 5_ 82,higher then the one previously 
383,20_ 32_ 92,ended in 2 
383,63_ 27_ 99_ 33,double and lower 
383,53,odd 
383,50,even
31,32_ 4_ 16,divided by 4
31,9_ 33_ 73_ 99,second digit divided by 3
31,80_ 70_ 90_ 100,divisible by 10
31,29_ 62_ 98,increasing intervals by 3 from 33
31,17_ 11_ 65_ 53,odd integers
114,48_ 99_ 3,something slightly more than double the previous number
114,86,any number
114,17,any number
114,50,any number
114,10_ 66_ 29,a number between double and 6x the previous number
18,75_ 48_ 3,multiples of 3
18,9,multiples of 3 or 9
18,15_ 85_ 45,multiples of 5
18,47_ 2_ 74,any 1 or two digit number_ or 47 - 74 forwards and backwards_ and the number 2. 
18,10,multiples of 5 or 10
473,10,Ending 0
473,15_ 85_ 45,Ending 5
473,33_ 17_ 5_ 9,Odd
473,12_ 84_ 8,Even
473,83_ 11,Odd
428,85_ 7,Odd numbers
428,78_ 48_ 88,Ending in 8
428,80_ 70_ 90_ 100,In tens_ e.g. 10_ 20 30 etc.
428,29_ 62_ 98,Contains the numbers 2_6_ 9 or 8
428,49_ 28_ 76_ 13,I thought this was a pattern (pretty sure it was the 1st set)_ I kept thinking of a sequence_ and I came up with a larger number (quite a bit larger) than 76
109,92_ 68_ 20,even numbers
109,49_ 28_ 76_ 13,even and odd numbers but no numbers that end in 0
109,32_ 4_ 16,even numbers
109,29_ 62_ 98,double digit evens and odds
109,6,numbers that end in 6
95,75_ 27,numbers divisible by 3
95,50,even number
95,48_ 99_ 3,numbers divisible by 3
95,20_ 32_ 92,even numbers
95,60_ 54,even numbers
56,17_ 50_ 5_ 82,odd numbers between 17 and 82
56,63_ 27_ 99_ 33,odd number 1 -99
56,20_ 32_ 92,number 15-96
56,60_ 54,50-70
56,50,45-55
74,86,even numbers
74,15_ 93,odd numbers
74,17_ 50_ 5_ 82,sequence of odd_ even_ odd_ even_ etc.
74,63_ 27_ 81,odd numbers
74,10_ 66_ 29,sequence of even_ even_ odd_ etc.
237,49_ 28_ 76_ 13,numbers between 13 and 76
237,90_ 100_ 5,numbers divisible by 5
237,6,even numbers
237,92_ 68_ 20,even numbers
237,32_ 4_ 16,numbers divisible by 4
495,9,Multiples of 9
495,75_ 48_ 3,Odd_ even_ odd pattern
495,47_ 2_ 74,numbers between 2 and 74
495,55_ 29,Odd numbers
495,83_ 11,Odd numbers
129,20_ 32_ 92,even numbers
129,69,odd numbers
129,50,multiples of 5
129,59_ 34_ 14_ 89,ending in 9 or 4
129,63_ 27_ 81,odd numbers
233,17_ 50_ 5_ 82,numbers between 5 and 82
233,20_ 32_ 92,even numbers between 20 and 92
233,17,odd numbers
233,63_ 27_ 81,odd numbers between 27 and 81
233,10_ 66_ 29,numbers between 10 and 66
545,90_ 100_ 5,multiples of fives
545,18_ 8_ 72_ 98,Ends in eights and twos
545,3_ 81,multiples of three
545,29_ 62_ 98,Between 29 and 98.
545,66,Can only have a six
599,17,it is unpredictable (a rule for any number could be found)
599,60_ 54,too many possibilities_ for example_ even numbers_ or numbers divisible by 3
599,63_ 27_ 99_ 33,"numbers divisible by 3 (but the ""correct"" order is not clear)"
599,10_ 66_ 29,not sure
599,59_ 34_ 14_ 89,not sure
81,86,toward 100
81,20_ 32_ 92,20s to 90s
81,48_ 99_ 3,wide range
81,10_ 66_ 29,10s to 65s
81,60_ 54,50s to 75
107,55_ 29,Odd numbers
107,10,Too many possibilities to guess with any certainty whatsoever.
107,47_ 2_ 74,It looks like a mirroring of numbers with a space provided by the number 2
107,15_ 85_ 45,Multiples of 5?
107,78,Again_ with only one sample_ how could I guess?
12,82_ 67_ 72,numbers between 67 and 82
12,33,odd numbers
12,78,even numbers
12,76_ 26,"numbers ending in ""6"""
12,33_ 17_ 5_ 9,numbers between 5 and 33
258,10_ 66_ 29,Ends in zero_ six_ nine.
258,63_ 27_ 99_ 33,Divisible by three.
258,59_ 34_ 14_ 89,Ends in four or nine.
258,75_ 27,Has a seven.
258,60_ 54,Divisible by three.
305,83_ 38_ 58_ 68,numbers been 20 and 90
305,76_ 26,numbers ending in 6
305,55_ 29,odd numbers
305,33_ 17_ 5_ 9,odd numbers
305,75_ 48_ 3,numbers that 3 can make
159,8_ 92,multiples of 8
159,55_ 15_ 75_ 45,numbers ending in 5
159,64_ 94_ 84,numbers ending in 4
159,99_ 59_ 31_ 67,odd numbers
159,10_ 55_ 58,numbers between 10 and 58
152,33,odd numbers
152,33_ 9,odd numbers
152,9,just odd numbers again
152,83_ 38_ 58_ 68,"numbers that have at least 1 ""8"" in them"
152,83_ 11,odd numbers
190,33_ 9,multiples of 3
190,83_ 11,odd numbers
190,78,even numbers
190,12_ 84_ 8,multplies of 4
190,33_ 17_ 5_ 9,odd numbers
505,15_ 85_ 45,numbers ending with 5
505,33_ 17_ 5_ 9,odd numbers
505,76_ 26,numbers ending with 6
505,82_ 67_ 72,don''t know
505,83_ 11,odd numbers
46,15_ 85_ 45,last digit is 5
46,83_ 11,odd number
46,76_ 26,last digit is 6
46,33_ 9,divisible by 3
46,47_ 2_ 74,not sure
189,80_ 70_ 90_ 100,numbers between 35 and 45
189,90_ 100_ 5,both even and odd
189,32_ 4_ 16,even numbers
189,17_ 11_ 65_ 53,both even and odd
189,18_ 8_ 72_ 98,even numbers
417,80_ 70_ 90_ 100,multiples of ten
417,26_ 2,even numbers
417,9_ 33_ 73_ 99,odd numbers
417,18_ 8_ 72_ 98,even numbers
417,29_ 62_ 98,add 33_ then add 36_ then add 39 and so on
227,80_ 70_ 90_ 100,Multiples of ten or even
227,49_ 28_ 76_ 13,Random pattern
227,66,Multiple of six or numbers with the same 1st and 2nd digit
227,6,Even
227,78_ 48_ 88,Even
439,78_ 48_ 88,numbers ending in 8
439,80_ 70_ 90_ 100,numbers ending with 0
439,49_ 28_ 76_ 13,numbers between 13 and 76
439,18_ 8_ 72_ 98,multiples of 9 or 8
439,6,multiples of 6
415,11_ 26_ 74_ 2,I don''t know
415,59_ 89_ 79,numbers ending in 9
415,10_ 55_ 58,I don''t know
415,55_ 15_ 75_ 45,numbers ending in 5
415,99_ 59_ 31_ 67,odd numbers
70,33_ 17_ 5_ 9,odd numbers
70,82_ 67_ 72,numbers between 67 and 82
70,9,numbers ending in 9
70,76_ 26,numbers ending in 6
70,47_ 2_ 74,numbers between 2 and 74
360,6,multiples of 6
360,78_ 48_ 88,numbers ending in 8
360,17_ 11_ 65_ 53,unsure
360,32_ 4_ 16,multiples of 4
360,26_ 2,multiples of 3
359,69,Numbers between 1 and 69
359,75_ 27,Numbers between 27 and 75
359,17_ 50_ 5_ 82,Numbers between 5 and 82
359,48_ 99_ 3,Numbers between 3 and 99
359,86,Numbers between 1 and 86
271,75_ 27,odd number
271,17,odd number
271,69,odd number
271,53,odd number
271,63_ 27_ 99_ 33,odd number
186,10_ 66_ 29,Numbers between 10 and 66
186,75_ 27,Odd numbers
186,15_ 93,Odd numbers
186,50,Even numbers
186,20_ 32_ 92,Even numbers
402,33_ 9,divisible by three
402,55_ 29,ending in 5 or 9
402,76_ 26,ending in 6
402,9,multiplier or divided by 9
402,33,divisible by 3_ or multiple of 11
122,12_ 84_ 8,even numbers
122,78,even numbers
122,33_ 9,odd numbers
122,75_ 48_ 3,odd numbers
122,33_ 17_ 5_ 9,odd numbers
211,48_ 99_ 3,Unsure
211,63_ 27_ 99_ 33,Variables of 3
211,59_ 34_ 14_ 89,Numbers ending with 4 and 9
211,86,Numbers ending with 6
211,20_ 32_ 92,Even numbers
587,6_ 25,Need three data points to construct a pattern. Maybe between 6-25 I realized later about the three data point thing and started saying yes to most anything if there were less than three numbers
587,46_ 76_ 66,Ends in 6
587,65_ 26_ 2,Between numbers close to 65-2
587,8_ 16,multiples of 8
587,64_ 94_ 84,ends in 4
286,76_ 26,even numbers between 26 and 76
286,47_ 2_ 74,all numbers between 2 and 74
286,10,all numbers that the digits add up to 10
286,33_ 9,odd numbers between 9 and 33
286,33,odd numbers
66,65_ 26_ 2,no idea
66,8_ 16,multiples of 8
66,59_ 89_ 79,numbers ending in 9
66,64_ 94_ 84,numbers ending in 4
66,11_ 26_ 74_ 2,not sure
312,92_ 68_ 20,Even Numbers
312,49_ 28_ 76_ 13,Numbers between 13 & 49
312,80_ 70_ 90_ 100,Increments of 10''s
312,26_ 2,Increasing digits using 2 as a base
312,29_ 62_ 98,Numbers combining 2 6 9 & 8
430,32_ 4_ 16,numbers between 4 and 32
430,6,even numbers
430,26_ 2,even numbers
430,9_ 33_ 73_ 99,odd numbers_ 9 through 99
430,85_ 7,odd numbers
333,32_ 4_ 16,even numbers
333,3_ 81,odd numbers
333,85_ 7,odd numbers 
333,17_ 11_ 65_ 53,odd numbers
333,29_ 62_ 98,numbers between 29 and 98
220,63_ 27_ 81,no idea
220,48_ 99_ 3,multiples of 3
220,63_ 27_ 99_ 33,not sure
220,69,between 60 and 70
220,53,between 50 and 60_ numbers with 5 in them
451,92_ 68_ 20,evens
451,26_ 2,evens
451,80_ 70_ 90_ 100,multiples of to
451,9_ 33_ 73_ 99,numbers with 9 or 3 in them
451,66,doubles (66_55_44 ect)
115,17_ 50_ 5_ 82,numbers between 5 and 82
115,59_ 34_ 14_ 89,numbers ending in 9 and 4
115,69,odd numbers
115,63_ 27_ 81,odd numbers
115,60_ 54,even numbers
516,15_ 85_ 45,Numbers divisible by 5
516,47_ 2_ 74,Not sure on this one
516,83_ 11,Odd numbers
516,12_ 84_ 8,Numbers divisible by 4
516,10,Numbers divisble by 10
454,9_ 33_ 73_ 99,multiples of three
454,49_ 28_ 76_ 13,each number 1 - 9 to be used once_ with the exception of 5
454,85_ 7,odd numbers
454,66,repeated digits
454,78_ 48_ 88,double-digit numbers ending with 8
364,55_ 29,odd nummbers
364,33,double number that is the same
364,83_ 38_ 58_ 68,numbers that end in 8
364,83_ 11,odd numbers
364,47_ 2_ 74,i do not know
341,55_ 29,odd numbers
341,83_ 11,odd numbers
341,10,even numbers
341,9,odd numbers
341,76_ 26,Numbers ending in 6
204,10_ 66_ 29,numbers between 10 and 29
204,15_ 93,numbers between 15 and 93
204,50,even numbers
204,17,numbers between 17 and something higher
204,63_ 27_ 99_ 33,numbers between 27 and 99
384,6, Single digits
384,29_ 62_ 98,Not sure
384,49_ 28_ 76_ 13,Not sure
384,92_ 68_ 20,Even Numbers
384,32_ 4_ 16,Even Numbers
291,59_ 34_ 14_ 89,numbers ending in 4 or 9
291,63_ 27_ 99_ 33,double numbers or factors of 9
291,20_ 32_ 92,numbers ending in 0 or 2
291,10_ 66_ 29,numbers ending in 0_ 6_ or 9
291,48_ 99_ 3,numbers ending in 8_ 9_ or 3
2,59_ 89_ 79,Numbers ending with 9
2,8_ 16,Multiples of 8
2,11_ 26_ 74_ 2,Numbers between 2 and 74
2,55_ 15_ 75_ 45,Numbers ending with 5
2,8_ 92,Numbers between 1 and 100
168,8_ 92,numbers between 5 and 95
168,98_ 54_ 18,numbers between 15 and 100
168,6_ 25,numbers between 1 and 50
168,65_ 26_ 2,numbers between 1 and 80
168,99_ 59_ 31_ 67,numbers ending with 1_3_5_7_ or 9
101,17_ 11_ 65_ 53,Odd number set
101,92_ 68_ 20,Even number set
101,49_ 28_ 76_ 13,Whole numbers
101,78_ 48_ 88,Numbers with 8 as the first digit
101,3_ 81,Multiples of 3
135,49_ 28_ 76_ 13,Numbers between 13 and 76
135,29_ 62_ 98,Numbers between 29 and 98
135,80_ 70_ 90_ 100,Multiples of 10
135,18_ 8_ 72_ 98,Even numbers
135,78_ 48_ 88,Numbers ending with 8
118,10,numbers divisible by 10
118,33_ 9,numbers divisible by 3
118,12_ 84_ 8,numbers divisible by 4
118,83_ 38_ 58_ 68,numbers with the digit 8 in them
118,83_ 11,odd numbers
179,10,multiples of 10
179,33,numbers with the same digit twice
179,12_ 84_ 8,even numbers
179,82_ 67_ 72,numbers above 60
179,15_ 85_ 45,numbers ending in 5
147,9,Only the number 9 or 0. 
147,12_ 84_ 8,Even numbers
147,33_ 9,multiples of 3
147,15_ 85_ 45,numbers that end in 5
147,55_ 29,numbers between 55 and 29
501,48_ 99_ 3,numbers between 3 and 99
501,86,Even numbers
501,20_ 32_ 92,Even Numbers
501,17_ 50_ 5_ 82,numbers ending in 7_ 0_ 5_ 2
501,59_ 34_ 14_ 89,numbers ending in 9_ 4
319,90_ 100_ 5,Multiples of five
319,18_ 8_ 72_ 98,Even numbers
319,6,I cannot guess.
319,9_ 33_ 73_ 99,Numbers ending in 3 or 9
319,32_ 4_ 16,Multiples of 2_ doubling (2_ 4_ 8_ 16_ 32_ 64_ etc.)
241,66,double digit numbers
241,9_ 33_ 73_ 99,numbers ending in 3 or 9
241,80_ 70_ 90_ 100,multiples of five or ten
241,26_ 2,even numbers
241,85_ 7,odd numbers
283,49_ 28_ 76_ 13,random numbers
283,26_ 2,even numbers
283,29_ 62_ 98,random numbers
283,66,even numbers
283,78_ 48_ 88,even numbers
311,75_ 48_ 3,?
311,33,?
311,83_ 11,?
311,12_ 84_ 8,?
311,47_ 2_ 74,?
566,63_ 27_ 81,odd numbers
566,69,odd numbers
566,86,even numbers
566,59_ 34_ 14_ 89,only those numbers
566,10_ 66_ 29,only those numbers
203,78_ 48_ 88,even 2 digit numbers
203,32_ 4_ 16,multiples of 4
203,29_ 62_ 98,two digit numbers maybe
203,17_ 11_ 65_ 53,odd two digit numbers
203,9_ 33_ 73_ 99,odd numbers
100,47_ 2_ 74,Divisible by 2
100,75_ 48_ 3,Divisible by 3
100,55_ 29,Ending in 5 or 9
100,10,Divisible by 10
100,12_ 84_ 8,Even numbers
445,17_ 11_ 65_ 53,odd numbers
445,3_ 81,odd numbers
445,18_ 8_ 72_ 98,even numbers
445,6,even numbers
445,80_ 70_ 90_ 100,numbers divisible by 10
300,59_ 34_ 14_ 89,numbers less than 100
300,75_ 27,odd numbers
300,69,numbers composed of and even number in the tens place and an odd number in the ones place
300,53,odd number in tens place and odd number in ones place
300,50,odd number even number
592,63_ 27_ 99_ 33,when you add them together_ you get a number divisivible by 3
592,10_ 66_ 29,kind of looks like letters upside down
592,69,a mirrored number
592,48_ 99_ 3,when you add them together_ you get a number divisivible by 3
592,17_ 50_ 5_ 82,a number between 1 and 100
378,8_ 16,even numbers_ multiple of 2''s
378,10_ 55_ 58,even numbers of easy remebering_ 5''s_ 10''s_ 15''s_ 20''s_ etc.
378,55_ 15_ 75_ 45,numbers that end in 5''s
378,11_ 26_ 74_ 2,numbers that are likely prime then not_ then back to prime
378,99_ 59_ 31_ 67,numbers that are randomly going down then back up again
482,63_ 27_ 81,odd numbers
482,53,odd numbers
482,69,odd numbers
482,60_ 54,even numbers
482,75_ 27,even than odd than even numbers
472,86,80 to 90
472,63_ 27_ 81,Divisible by nine
472,10_ 66_ 29,10 to 30
472,60_ 54,5o to 60
472,53,50 to 59
438,92_ 68_ 20,two-digit even numbers
438,9_ 33_ 73_ 99,odd numbers
438,6,numbers lower than 10
438,26_ 2,even numbers that contain a 2
438,18_ 8_ 72_ 98,even numbers
25,48_ 99_ 3,random
25,15_ 93,odd numbers
25,10_ 66_ 29,even even odd
25,75_ 27,numbers with 7
25,63_ 27_ 81,odd numbers
196,12_ 84_ 8,even numbers
196,55_ 29,numbers between 25 and 55
196,83_ 11,odd numbers
196,47_ 2_ 74,numbers between 1 and 100
196,78,even numbers
521,12_ 84_ 8,even numbers
521,33_ 17_ 5_ 9,odd numbers
521,82_ 67_ 72,numbers between 67 and 82
521,9,odd numbers
521,33_ 9,numbers between 9 and 33
96,9,Multiples of 9
96,33,Multiples of 33
96,33_ 17_ 5_ 9,Multiples of 33_ 17_ 5_ or 9
96,55_ 29,Only these two numbers
96,12_ 84_ 8,Multiples of 4
564,10_ 66_ 29,numbers with 13 added
564,63_ 27_ 81,odd numbers
564,17_ 50_ 5_ 82,odd numbers
564,53,odd numbers
564,69,odd numbers
370,3_ 81,Odd numbers_ or numbers near 3.
370,90_ 100_ 5,a number between 5 and 15.
370,29_ 62_ 98,number between 29 and 59.
370,85_ 7,odd number or number near 85.
370,80_ 70_ 90_ 100,Even number.
317,33,odd numbers
317,82_ 67_ 72,between 82 and 67
317,15_ 85_ 45,numbers ending with 5
317,10,even numbers
317,78,even numbers
377,20_ 32_ 92,even numbers
377,60_ 54,even numbers
377,53,odd numbers or numbers close to 53
377,17_ 50_ 5_ 82,pattern of odd_ even_ odd_ even
377,10_ 66_ 29,random or alternating high and low numbers
598,32_ 4_ 16,even numbers
598,9_ 33_ 73_ 99,odd numbers
598,90_ 100_ 5,divisible by 5
598,3_ 81,divisible by 3
598,78_ 48_ 88,ends in 8
44,26_ 2,even numbers
44,18_ 8_ 72_ 98,even numbers
44,9_ 33_ 73_ 99,numbers ending in 3 or 9
44,90_ 100_ 5,numbers ending in 0 or 5
44,6,even numbers
605,98_ 54_ 18,even numbers
605,8_ 92,even numbers
605,55_ 15_ 75_ 45,multiples of 5
605,7,odd numbers
605,99_ 59_ 31_ 67,odd numbers
546,12_ 84_ 8,even numbers
546,47_ 2_ 74,numbers with 2_4_and 7
546,83_ 11,odd numbers
546,76_ 26,numbers that end with 6
546,10,10
434,59_ 34_ 14_ 89,numbers that end with 9 or 4
434,17,odd numbers
434,20_ 32_ 92,even numbers
434,69,odd number
